x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.99168977,0.08565111,0.31410656,0.94938773,0.19660534,4.54989823,-2.99126152,0.08789627,0.31503968,0.9490785,0.20158164
-2.99126152,0.08789627,0.31503968,0.9490785,0.20158164,4.55969025,-2.99082204,0.09014617,0.31599611,0.94876049,0.20657368
-2.99082204,0.09014617,0.31599611,0.94876049,0.20657368,4.5694035,-2.99037131,0.09240063,0.31697588,0.9484336,0.21158194
-2.99037131,0.09240063,0.31697588,0.9484336,0.21158194,4.57903895,-2.9899093,0.09465948,0.31797906,0.94809774,0.21660694
-2.9899093,0.09465948,0.31797906,0.94809774,0.21660694,4.58859753,-2.989436,0.09692258,0.3190057,0.9477528,0.22164915
-2.989436,0.09692258,0.3190057,0.9477528,0.22164915,4.59808015,-2.98895139,0.09918975,0.32005584,0.94739868,0.22670909
-2.98895139,0.09918975,0.32005584,0.94739868,0.22670909,4.60748767,-2.98845544,0.10146084,0.32112956,0.94703527,0.23178725
-2.98845544,0.10146084,0.32112956,0.94703527,0.23178725,4.61682094,-2.98794814,0.10373568,0.3222269,0.94666247,0.23688412
-2.98794814,0.10373568,0.3222269,0.94666247,0.23688412,4.62608073,-2.98742946,0.10601414,0.32334792,0.94628015,0.24200021
-2.98742946,0.10601414,0.32334792,0.94628015,0.24200021,4.6352678,-2.98689939,0.10829605,0.32449268,0.94588821,0.24713601
-2.98689939,0.10829605,0.32449268,0.94588821,0.24713601,4.64438288,-2.98635791,0.11058127,0.32566125,0.94548652,0.25229203
-2.98635791,0.11058127,0.32566125,0.94548652,0.25229203,4.65342663,-2.985805,0.11286964,0.32685368,0.94507496,0.25746876
-2.985805,0.11286964,0.32685368,0.94507496,0.25746876,4.6623997,-2.98524066,0.11516102,0.32807005,0.9446534,0.26266669
-2.98524066,0.11516102,0.32807005,0.9446534,0.26266669,4.6713027,-2.98466485,0.11745527,0.32931041,0.94422172,0.26788634
-2.98466485,0.11745527,0.32931041,0.94422172,0.26788634,4.68013617,-2.98407757,0.11975225,0.33057483,0.94377978,0.27312821
-2.98407757,0.11975225,0.33057483,0.94377978,0.27312821,4.68890065,-2.98347881,0.12205182,0.33186339,0.94332746,0.27839279
-2.98347881,0.12205182,0.33186339,0.94332746,0.27839279,4.69759661,-2.98286855,0.12435383,0.33317614,0.9428646,0.28368058
-2.98286855,0.12435383,0.33317614,0.9428646,0.28368058,4.7062245,-2.98224678,0.12665816,0.33451317,0.94239108,0.2889921
-2.98224678,0.12665816,0.33451317,0.94239108,0.2889921,4.71478471,-2.98161349,0.12896467,0.33587454,0.94190673,0.29432784
-2.98161349,0.12896467,0.33587454,0.94190673,0.29432784,4.72327761,-2.98096867,0.13127323,0.33726032,0.94141143,0.2996883
-2.98096867,0.13127323,0.33726032,0.94141143,0.2996883,4.73170351,-2.9803123,0.13358371,0.33867059,0.94090501,0.30507399
-2.9803123,0.13358371,0.33867059,0.94090501,0.30507399,4.74006268,-2.97964439,0.13589599,0.34010543,0.94038731,0.31048543
-2.97964439,0.13589599,0.34010543,0.94038731,0.31048543,4.74835535,-2.97896491,0.13820995,0.3415649,0.93985819,0.3159231
-2.97896491,0.13820995,0.3415649,0.93985819,0.3159231,4.75658172,-2.97827386,0.14052546,0.34304909,0.93931748,0.32138752
-2.97827386,0.14052546,0.34304909,0.93931748,0.32138752,4.76474193,-2.97757123,0.1428424,0.34455807,0.93876501,0.32687919
-2.97757123,0.1428424,0.34455807,0.93876501,0.32687919,4.77283608,-2.97685702,0.14516067,0.34609192,0.93820061,0.33239863
-2.97685702,0.14516067,0.34609192,0.93820061,0.33239863,4.78086423,-2.97613121,0.14748013,0.34765072,0.93762411,0.33794634
-2.97613121,0.14748013,0.34765072,0.93762411,0.33794634,4.78882638,-2.97539381,0.14980069,0.34923456,0.93703534,0.34352282
-2.97539381,0.14980069,0.34923456,0.93703534,0.34352282,4.79672251,-2.97464481,0.15212224,0.35084351,0.9364341,0.3491286
-2.97464481,0.15212224,0.35084351,0.9364341,0.3491286,4.80455253,-2.9738842,0.15444466,0.35247765,0.93582023,0.35476417
-2.9738842,0.15444466,0.35247765,0.93582023,0.35476417,4.81231632,-2.97311197,0.15676786,0.35413708,0.93519353,0.36043006
-2.97311197,0.15676786,0.35413708,0.93519353,0.36043006,4.82001371,-2.97232814,0.15909173,0.35582186,0.9345538,0.36612677
-2.97232814,0.15909173,0.35582186,0.9345538,0.36612677,4.82764447,-2.97153268,0.16141618,0.35753209,0.93390085,0.37185481
-2.97153268,0.16141618,0.35753209,0.93390085,0.37185481,4.83520834,-2.9707256,0.16374111,0.35926785,0.93323449,0.3776147
-2.9707256,0.16374111,0.35926785,0.93323449,0.3776147,4.84270499,-2.96990689,0.16606642,0.36102922,0.9325545,0.38340695
